Coach,Date,Time,Field,Age Group,Home Team,Away Team,Jersey Color,Location
Andy C,Saturday May 9,8:00 AM,Field 1,2016 Boys Marietta,Academy I,UFA Royal Blue,Red,Mud Creek Soccer Complex
Andy C,Saturday May 9,10:00 AM,Field 2,2016 Boys Marietta,Academy II,UFA Forest Green,Black,Mud Creek Soccer Complex
Andy C,Saturday May 9,12:00 PM,Field 1,2018 Boys Marietta,Academy I,UFA White,Black,Mud Creek Soccer Complex
Andy C,Sunday May 10,10:00 AM,Field 2,2016 Boys Marietta,Premier,UFA Navy Gold,Black,Mud Creek Soccer Complex
Atziel C,Saturday May 9,8:00 AM,Field 3,2017 Boys,Academy I,UFA Silver,Black,Mud Creek Soccer Complex
Atziel C,Saturday May 9,12:00 PM,Field 2,2018 Boys Marietta,Academy II,UFA Maroon,Red,Mud Creek Soccer Complex
Jason Prior,Sunday May 10,8:00 AM,Field 1,2016 Boys Marietta,Elite,UFA Crimson,Red,Mud Creek Soccer Complex
Juan G,Sunday May 10,12:00 PM,Field 1,2018 Boys Marietta,Elite,UFA Gold,Black,Mud Creek Soccer Complex
Manny,Saturday May 9,10:00 AM,Field 4,2017 Boys,Academy II,UFA Purple,Black,Mud Creek Soccer Complex
Manny,Sunday May 10,12:00 PM,Field 2,2018 Boys Marietta,Premier,UFA Sky Blue,Black,Mud Creek Soccer Complex
Mike C,Sunday May 10,8:00 AM,Field 3,2017 Boys,Elite,UFA Orange,Red,Mud Creek Soccer Complex
Parker W,Sunday May 10,10:00 AM,Field 4,2017 Boys,Premier,UFA Teal,Black,Mud Creek Soccer Complex
