Event,Location,Date,Time,Field,Age Group,Home Team,Away Team,Coach,Jersey Color
Spring Showcase 2026,Mud Creek Soccer Complex,Saturday May 9,8:00 AM,Field 1,2016 Boys Marietta,Academy I,UFA Royal Blue,Andy C,Red
Spring Showcase 2026,Mud Creek Soccer Complex,Saturday May 9,8:00 AM,Field 3,2017 Boys,Academy I,UFA Silver,Atziel C,Black
Spring Showcase 2026,Mud Creek Soccer Complex,Saturday May 9,10:00 AM,Field 2,2016 Boys Marietta,Academy II,UFA Forest Green,Andy C,Black
Spring Showcase 2026,Mud Creek Soccer Complex,Saturday May 9,10:00 AM,Field 4,2017 Boys,Academy II,UFA Purple,Manny,Black
Spring Showcase 2026,Mud Creek Soccer Complex,Saturday May 9,12:00 PM,Field 1,2018 Boys Marietta,Academy I,UFA White,Andy C,Black
Spring Showcase 2026,Mud Creek Soccer Complex,Saturday May 9,12:00 PM,Field 2,2018 Boys Marietta,Academy II,UFA Maroon,Atziel C,Red
Spring Showcase 2026,Mud Creek Soccer Complex,Sunday May 10,8:00 AM,Field 1,2016 Boys Marietta,Elite,UFA Crimson,Jason Prior,Red
Spring Showcase 2026,Mud Creek Soccer Complex,Sunday May 10,8:00 AM,Field 3,2017 Boys,Elite,UFA Orange,Mike C,Red
Spring Showcase 2026,Mud Creek Soccer Complex,Sunday May 10,10:00 AM,Field 2,2016 Boys Marietta,Premier,UFA Navy Gold,Andy C,Black
Spring Showcase 2026,Mud Creek Soccer Complex,Sunday May 10,10:00 AM,Field 4,2017 Boys,Premier,UFA Teal,Parker W,Black
Spring Showcase 2026,Mud Creek Soccer Complex,Sunday May 10,12:00 PM,Field 1,2018 Boys Marietta,Elite,UFA Gold,Juan G,Black
Spring Showcase 2026,Mud Creek Soccer Complex,Sunday May 10,12:00 PM,Field 2,2018 Boys Marietta,Premier,UFA Sky Blue,Manny,Black
